group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen403'Sp2,b2790a75-a6dd-4b74-b213-51f32be8f2be,Temperature,Celsius,-10.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen403'Sp6,79b2a944-2b36-4ab9-8f96-d7c78ea84d3a,Temperature,Celsius,-10.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'Sp4,318db291-2a3e-4bab-8415-be2a8f9dd5ab,Temperature,Celsius,2.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SpDtr,d2085b53-2d4f-4df0-9d9e-d9eb94fa717a,Temperature,Celsius,0.0,2026-09-02T05:52:52,
agent B,pump faults,C'CPlt350'Cds'Cdstorrkj'CirPu403'Flt,7d6c23f2-b0c9-40fb-aa15-4827090fb48e,State,BooleanDetection,0.0,2026-09-02T06:35:38,
agent B,pump faults,C'CPlt350'Cds'IK001'PuJP401'Flt401,221f0ebd-e758-4a8d-b68b-5a7a28e40044,State,BooleanDetection,0.0,2026-09-02T06:35:37,
agent B,pump faults,C'CPlt350'Cds'IK002'PuJP402'Flt402,f831634b-4593-4b0c-9187-5180b7befc7a,State,BooleanDetection,0.0,2026-09-02T06:35:38,
agent B,pump faults,C'CPlt350'Isvann'IK001'PuJP501'Flt501,a7f76dd8-7b33-457f-99c7-4cc2820c4048,State,BooleanDetection,0.0,2026-09-02T06:35:39,
agent B,pump faults,C'CPlt350'Isvann'IK002'PuJP502'Flt502,5cc4c414-a67f-42f7-a68c-cc38aa363990,State,BooleanDetection,0.0,2026-09-02T06:35:37,
agent B,pump faults,C'CPlt370'CPlt37000'PuTwn4012'Flt401,5eaf8934-7934-44d8-a3c2-beff7deddd17,State,BooleanDetection,0.0,2026-09-02T06:35:37,
agent B,pump faults,C'CPlt370'CPlt37000'PuTwn4012'Flt402,2ba8f9ff-b98f-4e96-bdd9-4e01f028ce3a,State,BooleanDetection,0.0,2026-09-02T06:35:35,
agent B,pump faults,C'CPlt370'CPlt37010'CirPu401'Flt,7ae68c09-e6b4-4834-8276-dc9d6de04a5b,State,BooleanDetection,0.0,2026-09-02T06:35:39,
agent B,pump faults,CdsHrc'Erc390'Erc390000'PuTwn4012'Flt401,6ac03164-0f25-4520-9b91-4907ba4e73f0,State,BooleanDetection,0.0,2026-09-02T06:35:35,
agent B,pump faults,CdsHrc'Erc390'Erc390000'PuTwn4012'Flt402,3fa620d4-68d8-40e3-8f07-1d18c00ea9c3,State,BooleanDetection,0.0,2026-09-02T06:35:36,
agent B,pump faults,CdsHrc'Erc390'Erc390020'CirPu501'Flt,51c6822f-89a1-45aa-8b27-1bbfea563bf2,State,BooleanDetection,0.0,2026-09-02T06:35:36,
agent B,pump faults,CdsHrc'Erc390'Erc390030'CirPu401'Flt,6b60c76f-dcfd-4658-b7d9-736be425bbf5,State,BooleanDetection,0.0,2026-09-02T06:35:37,
agent C,room temperature,-OU001-RB601 SpaceTemp,b983799d-832f-4b66-b285-68b8b81f5990,Temperature,Celsius,18.284114837646484,2026-09-02T06:34:54,
agent C,room temperature,-OU001-RB602 SpaceTemp,b2dc378e-0a8f-40f6-b55b-d34666589910,Temperature,Celsius,19.80019187927246,2026-09-02T06:34:54,
agent C,room temperature,-OU001-RB603 SpaceTemp,7745df82-62ee-4ffe-9283-abd97c1953ec,Temperature,Celsius,19.23587417602539,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,7a0efe4e-aa6f-4c98-a3d8-023e4c5fc9b5,Temperature,Celsius,22.315584182739258,2026-09-02T06:34:51,
